##SEIR model beta=gamma*R0(t), gamma=0.2000 alpha=0.2000, R0min=0.80, R0max=2.00  produced by macroInfection[.cpp]
#time[days]	S	E	I	R	R0
0.0000	0.9980	0.0010	0.0010	0.0000	1.7162
1.0000	0.9977	0.0011	0.0010	0.0002	1.7074
2.0000	0.9973	0.0012	0.0010	0.0004	1.6985
3.0000	0.9969	0.0013	0.0011	0.0006	1.6895
4.0000	0.9966	0.0014	0.0011	0.0008	1.6804
5.0000	0.9962	0.0015	0.0012	0.0011	1.6712
6.0000	0.9958	0.0016	0.0013	0.0013	1.6620
7.0000	0.9953	0.0017	0.0014	0.0016	1.6527
8.0000	0.9949	0.0018	0.0014	0.0019	1.6433
9.0000	0.9944	0.0019	0.0015	0.0022	1.6338
10.0000	0.9939	0.0020	0.0016	0.0025	1.6242
11.0000	0.9934	0.0022	0.0017	0.0028	1.6146
12.0000	0.9928	0.0023	0.0018	0.0031	1.6049
13.0000	0.9922	0.0024	0.0019	0.0035	1.5952
14.0000	0.9916	0.0025	0.0020	0.0039	1.5854
15.0000	0.9910	0.0026	0.0021	0.0043	1.5756
16.0000	0.9903	0.0028	0.0022	0.0047	1.5657
17.0000	0.9896	0.0029	0.0023	0.0052	1.5557
18.0000	0.9889	0.0030	0.0024	0.0057	1.5457
19.0000	0.9881	0.0032	0.0026	0.0062	1.5357
20.0000	0.9873	0.0033	0.0027	0.0067	1.5256
21.0000	0.9865	0.0035	0.0028	0.0072	1.5155
22.0000	0.9856	0.0036	0.0029	0.0078	1.5053
23.0000	0.9847	0.0038	0.0031	0.0084	1.4951
24.0000	0.9838	0.0039	0.0032	0.0090	1.4849
25.0000	0.9828	0.0041	0.0034	0.0097	1.4747
26.0000	0.9818	0.0043	0.0035	0.0104	1.4644
27.0000	0.9808	0.0044	0.0037	0.0111	1.4542
28.0000	0.9798	0.0046	0.0038	0.0119	1.4439
29.0000	0.9787	0.0047	0.0040	0.0126	1.4336
30.0000	0.9775	0.0049	0.0041	0.0134	1.4232
31.0000	0.9763	0.0051	0.0043	0.0143	1.4129
32.0000	0.9751	0.0053	0.0044	0.0152	1.4026
33.0000	0.9739	0.0054	0.0046	0.0161	1.3923
34.0000	0.9726	0.0056	0.0048	0.0170	1.3819
35.0000	0.9713	0.0058	0.0049	0.0180	1.3716
36.0000	0.9700	0.0059	0.0051	0.0190	1.3613
37.0000	0.9686	0.0061	0.0053	0.0200	1.3510
38.0000	0.9672	0.0063	0.0054	0.0211	1.3407
39.0000	0.9658	0.0064	0.0056	0.0222	1.3304
40.0000	0.9644	0.0066	0.0058	0.0233	1.3202
41.0000	0.9629	0.0067	0.0059	0.0245	1.3100
